id,name,property_account_payable_id/id,property_account_receivable_id/id,barcode,company_type,supplier,city,state_id/id,country_id/id,email,phone,fax,street,zip,website,PROPERTY_purchase_currency_id/id,property_supplier_payment_term_id
SUP1,Gentec Inc.,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,Quebec,l10n_ca_toponyms.QC,base.ca,info@gentec.ca,(+1)4186518000,(+1)4186516685,"2625, Dalton",G1P3S9,http://www.gentec.ca,base.CAD,30 Net Days
SUP2,Digi-Key Electronics,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,Theif River Falls,base.state_us_36,base.us,sales@digikey.com,18003444539,(+1)2186813380,"701 Brooks Av. South, P.O. BOX 677",56701,http://www.digikey.ca,base.USD,
SUP3,EBM Laser,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,Saint-Augustin de Desmaures,l10n_ca_toponyms.QC,base.ca,info@ebmlaser.com,(+1)8783616,(+1)8781474,109 des Grands-Lacs,G3A1V9,http://www.ebmlaser.com,base.CAD,Immediate Payment
SUP4,McMaster-Carr,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,Atlanta,base.state_us_11,base.us,cle.sales@mcmaster.com,(+1)3309955500,,6100 Fulton Industrial Blvd. SW,30336-2853,http://www.mcmaster.com,base.USD,Immediate Payment
SUP5,Simcona Inc.,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,London,l10n_ca_toponyms.ON,base.ca,info@simcona.ca,18889979901,(+1)5146202092,3422 Wonderland Road South,N6L1A7,http://www.simcona.ca,base.CAD,100%DP
SUP6,Atelier Multifab,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,Quebec,l10n_ca_toponyms.QC,base.ca,info@multifab.ca,(+1)4186141876,(+1)4186822011,1285 Saint-Vallier Ouest,G1N1H4,http://www.multifab.ca,base.CAD,30 Net Days
SUP7,Wesco Aircraft,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,Lachine,l10n_ca_toponyms.QC,base.ca,montrealsales@wescoair.com,(+1)5144035000,(+1)5144035041,2000 32e Av. #2701,H8T3H7,http://www.wescoair.com,base.CAD,Immediate Payment
SUP8,EIG LTD.,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,"Jiksan-eup, Seobuk-gu, Cheonan-si",__export__.res_country_state_74,base.kr,info@eigbatery.com,,,"#70 3-ro, 4-sandan",331-814,http://www.eigbattery.com,base.USD,50% DP; 50% shipping
SUP9,CBR Laser,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,Plessisville,l10n_ca_toponyms.QC,base.ca,cotationweb@cbrlaser.com,18773547011,(+1)8193626244,340 Route 116 Ouest,G6L2Y2,http://www.cbrlaser.com,base.CAD,30 Net Days
SUP10,Energitech,__export__.account_account_2,__export__.account_account_1,,Company,TRUE,Quebec,l10n_ca_toponyms.QC,base.ca,info@energitech.net,(+1)4186511117,(+1)4186511118,6305 Rue Zephirin-Paquet,G2C0M2,http://www.energitech.net,base.CAD,30 Net Days
